tweet|username|tanggal
"BSI Diretas, Di Mana Peran Negara Menjaga Keamanan Data Rakyat? | Serba-serbi MMC

Bank Syariah Indonesia (BSI) diduga menjadi korban serangan ransomware Lockbit 3.0. Para hacker mengklaim mereka berhasil mencuri data pelanggan bank sebesar 1,5 TB. 

https://t.co/7rR2z01WkO https://t.co/7SCaBWacP4"|yulkurniawati|2023-05-15
"Yuk! Ambil kesempatan utk berwakaf jariyah.
Membantu pembangunan Ruangan UKS adik2 santri @PeduliYatimBrsm .
Kebutuhan 15 jt rupiah...
Sedekah mulai 10 rb Insya Allah jadi pahala jariyah.🙏😊
➡️Rek Wakaf 
Bank Syariah Indonesia (BSI)
An/Wakaf Pesantren Yatim
No Rek: 7371565366 https://t.co/6rE9okFiYS"|TaklimN|2023-05-15
@aysteroids mohon kesediaan Kakak untuk konfirmasi dengan menghubungi Bank Syariah Indonesia Call 14040 atau mengunjungi kantor cabang BSI terdekat dengan membawa Buku Tabungan, kartu ATM dan KTP asli, agar dibantu tindak lanjuti. (2)|bankbsi_id|2023-05-15
"Bank Syariah Indonesia (BSI) diduga menjadi korban serangan ransomware Lockbit 3.0. Para hacker mengklaim mereka berhasil mencuri data pelanggan bank sebesar 1,5 TB. Seiring perkembangan teknologi digital, kasus kebocoran data makin marak terjadi.
https://t.co/5eawhVq9wj https://t.co/JYAd9rFfY5"|aarumi0|2023-05-15
"Bank Syariah Indonesia (BSI) diduga menjadi korban serangan ransomware Lockbit 3.0. Para hacker mengklaim mereka berhasil mencuri data pelanggan bank sebesar 1,5 TB. Seiring perkembangan teknologi digital, kasus kebocoran data makin marak terjadi. 
https://t.co/gr044nHVqG https://t.co/8bndMQPkkz"|Malaya883630421|2023-05-15
"Bank Syariah Indonesia (BSI) diduga menjadi korban serangan ransomware Lockbit 3.0. Para hacker mengklaim mereka berhasil mencuri data pelanggan bank sebesar 1,5 TB. Seiring perkembangan teknologi digital, kasus kebocoran data makin marak terjadi.
https://t.co/Nm4RJ2HoHw https://t.co/0bSLAopfZA"|UmmuAsih2|2023-05-15
"Bank Syariah Indonesia (BSI) diduga menjadi korban serangan ransomware Lockbit 3.0. Para hacker mengklaim mereka berhasil mencuri data pelanggan bank sebesar 1,5 TB. Seiring perkembangan teknologi digital, kasus kebocoran data makin marak terjadi. 
https://t.co/58QRzgXsOl https://t.co/6UyDs5SEZ4"|Rumi03990116|2023-05-15
"BSI Diretas, Di Mana Peran Negara Menjaga Keamanan Data Rakyat? | Serba-serbi MMC

Bank Syariah Indonesia (BSI) diduga menjadi korban serangan ransomware Lockbit 3.0. 

https://t.co/he8Wq71pUn

Jangan lupa share seluas-luasnya ya https://t.co/1qwdGiWaEr"|RumahBacaFathir|2023-05-15
"Pasca serangan siber yang diduga terjadi pada Bank Syariah Indonesia (BSI), Wakil Presiden Ma'ruf Amin meminta bank-bank lainnya di Indonesia membenahi sistem teknologi. 

Talk: Dirjen Informasi dan Komunikasi Publik @Kominfo Usman Kansong.

Streaming &gt;&gt; https://t.co/NJaL0w2E21 https://t.co/tWKtxM4UE0"|RadioElshinta|2023-05-15
"BSI Diretas, Di Mana Peran Negara Menjaga Keamanan Data Rakyat? 

Bank Syariah Indonesia (BSI) diduga menjadi korban serangan ransomware Lockbit 3.0. Para hacker mengklaim mereka berhasil mencuri data pelanggan bank sebesar 1,5 TB. 

https://t.co/VGmV1gdgct
Islam kaffah"|Mila83007126|2023-05-15
@chydrrn Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu setia menggunakan produk dan layanan BSI. (3)|bankbsi_id|2023-05-15
@Lunar_456 Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu setia menggunakan produk dan layanan BSI.(4)|bankbsi_id|2023-05-15
@Lunar_456 Namun Alhamdulillah layanan perbankan Bank Syariah Indonesia sudah pulih secara bertahap dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile.(2)|bankbsi_id|2023-05-15
